Comment,Author,Published At,Updated At,Like Count,Sentiment_Label,Sentiment_Score
Beautiful music. No words to describe the joy within me!,@AngelaVel-ve9vz,2023-12-17T23:22:11Z,2023-12-17T23:22:11Z,2,POSITIVE,0.9929400682449341
Beautiful Christmas muziek and a beautiful song and background LG Elisabeth and Joep...👼👼🎅🤶🧑‍🎄,@ElisabethKlaassen,2023-12-17T11:44:01Z,2023-12-17T11:44:01Z,1,POSITIVE,0.9997416138648987
No se oye lo que cantan,@Alternivma,2023-12-16T19:28:22Z,2023-12-16T19:28:22Z,0,NEGATIVE,0.989247739315033
"awful, like they don&#39;t know the lyrics at all... 3 hours for 10 songs??",@cathywilson3551,2023-12-16T18:00:33Z,2023-12-16T18:00:33Z,0,NEGATIVE,0.9997887015342712
It&#39;s so touching musics for my deep heart and glorify the redeemer..,@OppoA-et7zg,2023-12-16T16:53:20Z,2023-12-16T18:36:25Z,1,POSITIVE,0.9998123049736023
Is this a choir or a keyboard?,@hopefuldad,2023-12-16T10:01:10Z,2023-12-16T10:01:10Z,0,NEGATIVE,0.9948970675468445
I am 90years and loving these beautiful carols.,@MargotChristie-or4es,2023-12-15T22:40:09Z,2023-12-15T22:40:09Z,4,POSITIVE,0.9998786449432373
I really don’t mind if the choir is singing in a different language because most people know the music all over the world! Have a blessed Christmas and a happy new year to you all!,@ettaesch4050,2023-12-12T21:17:47Z,2023-12-12T21:17:47Z,9,POSITIVE,0.9997312426567078
Thank you so much for this beautiful Christmas music. Really calming and graceful ❤,@lavernebryant7857,2023-12-12T15:52:43Z,2023-12-12T15:52:43Z,9,POSITIVE,0.9998831748962402
Sounds like angels,@maryburt8747,2023-12-12T01:40:33Z,2023-12-12T01:40:33Z,2,POSITIVE,0.9965850114822388
thats What I&#39;m talking about!           <br><br>                         <b>Classic</b>,@clarkkent3730,2023-12-12T01:17:28Z,2023-12-12T01:17:28Z,1,POSITIVE,0.9961796998977661
This is so beautiful 😎🙏❤️,@theculturedbumpkin,2023-12-11T17:46:16Z,2023-12-11T17:46:16Z,6,POSITIVE,0.9998693466186523
💚,@candyland4021,2023-12-09T20:35:50Z,2023-12-09T20:35:50Z,1,NEGATIVE,0.6970568299293518
Thank you  our lady of Fatima.   We love you.   Let us all. Thank his mother.  Joanpennington.   Roe. 🌿🌲🌲🌿🏆🌿😊😊,@joanroe7770,2023-12-08T03:33:25Z,2023-12-08T03:33:25Z,1,POSITIVE,0.9997772574424744
I found this music.   When i. Really needed it.  Beautiful.    Our lady of medjGorie.   Pray for us.  🌲🌿🎄🏆🏆🏆🏆🏆🌿Joanpennington.  Roe.,@joanroe7770,2023-12-08T03:30:54Z,2023-12-08T03:30:54Z,1,POSITIVE,0.9976091384887695
This glorious choir singing the Christmas carols of my youth causes me to cherish my Christian heritage. It is a deeply beautiful heritage...may we continue to honor it by remembering the Spirit of Christmas...the journey to the Holy City for the birth of the Light.,@anatille,2023-12-08T00:21:00Z,2023-12-08T00:24:07Z,10,POSITIVE,0.9998782873153687
"In the summer I was diagnosed with prostate cancer at 76, no cure. I wonder how long I have to enjoy this special time of year and the beautiful music.",@magnuswalker7957,2023-12-07T18:43:39Z,2023-12-07T18:43:39Z,7,POSITIVE,0.9995611310005188
"So glad the internet brings quality to us peasants. Everyone in my real life is untalented, tone-deaf and shallow. Thank god for the internet.",@microsoft.microandsoft.for1923,2023-12-07T17:25:15Z,2023-12-07T17:25:15Z,1,NEGATIVE,0.9208700060844421
😊😊ES LA MUSICA PERFECTA DE TODA LA VIDA!! UN VERDADERO GOZO !!,@user-bb1cr2xk7e,2023-12-07T16:37:45Z,2023-12-07T16:37:45Z,1,POSITIVE,0.9841899275779724
Beautiful ❤🧚‍♀️🎄,@lisajayneskender9606,2023-12-07T05:02:36Z,2023-12-07T05:02:36Z,3,POSITIVE,0.9998611211776733
"I am 62 and not enjoy being alone, most of the time.",@user-ol6ig5sk5v,2023-12-05T21:37:00Z,2023-12-05T21:37:00Z,0,NEGATIVE,0.8154880404472351
God Bless Us Everyone!,@tommytam3208,2023-12-05T04:39:10Z,2023-12-05T04:39:10Z,3,POSITIVE,0.9996589422225952
I think of my dad who died this summer in the age of 53,@GrafLothinsmoor,2023-12-04T13:56:49Z,2023-12-04T13:56:49Z,3,POSITIVE,0.9273563623428345
Are some of the songs in Welsh?,@johninman7545,2023-12-04T03:57:59Z,2023-12-04T03:57:59Z,0,NEGATIVE,0.9867067933082581
Superbe soirée à l&#39;écoute de ces chants 💓,@francinedrion7775,2023-12-03T21:16:43Z,2023-12-03T21:16:43Z,2,POSITIVE,0.9985669255256653
"Am I the only one who thinks this all sounds digitally produced, including the voices?",@saraamelia8746,2023-12-02T15:27:57Z,2023-12-02T15:27:57Z,2,NEGATIVE,0.9991700649261475
"Well, I came here from Wardruna, so I guess this counts",@TravisSuter,2023-12-02T05:52:43Z,2023-12-02T05:52:43Z,0,NEGATIVE,0.9685732126235962
Wonderful!!!!,@anonymousboomer9749,2023-12-01T20:26:11Z,2023-12-01T20:26:11Z,3,POSITIVE,0.9998809099197388
"What language, if any, is this",@valor101arise,2023-12-01T19:37:27Z,2023-12-01T19:37:27Z,0,NEGATIVE,0.992563784122467
Thank you. These songs put me in the spirit of Christmas.,@lilianedenoni5481,2023-12-01T18:05:29Z,2023-12-01T18:05:29Z,5,POSITIVE,0.9998704195022583
"A única coisa que realmente controlamos são nossas atitudes perante a vida. Então é inútil perdermos tempo em brigar com o que acontece. Veja Boethius: &quot;O que importa é nossa atitude. É única coisa que podemos escolher. Então se assim é escolhamos sorrir, nem que seja só para lembrar dos momentos alegres.&quot; Ou eternos e infindáveis minutos que a Paz que estas músicas nos trazem. Feliz Natal, almas amigas...",@paulorodrigues374,2023-11-30T23:46:59Z,2023-11-30T23:46:59Z,1,NEGATIVE,0.9814684391021729
"The only thing we really control is our attitude to life. So it&#39;s pointless wasting time fighting with what happens. Look at Boethius: &quot;What matters is our attitude. It&#39;s the only thing we can choose. So if that&#39;s the case, let&#39;s choose to smile, if only to remember the happy moments.&quot; Or the eternal and endless minutes of peace that these songs bring us. Merry Christmas, friendly souls...",@paulorodrigues374,2023-11-30T23:46:30Z,2023-11-30T23:46:30Z,1,NEGATIVE,0.9941526055335999
"Divino!!! Agradeço ao Espírito Santo ter a sensibilidade para apreciar o Natal em sua absoluta mensagem: Jesus, um presente de Deus, nasceu. Glória a Deus nas alturas!",@paulorodrigues374,2023-11-30T23:18:39Z,2023-11-30T23:18:39Z,2,POSITIVE,0.5304445624351501
soo beautiful! 😌 happy almost Advent 🔥 and Merry early Christmas to the World 👑 ⛄👼🙏🧑‍🎄🦌🎄,@SexySkoChick,2023-11-30T21:41:53Z,2023-11-30T21:42:09Z,4,POSITIVE,0.9997209906578064
"Magnifique, merci :)",@freececile227,2023-11-28T13:18:29Z,2023-11-28T13:18:29Z,2,NEGATIVE,0.922204852104187
God always gives us good and beautiful things. such as music And all these songs. amen,@MusicforChristmas-zy2ze,2023-11-28T11:19:36Z,2023-11-28T11:19:36Z,1,POSITIVE,0.9997851252555847
❤❤❤❤❤❤❤❤❤,@dianaarango1135,2023-11-24T18:36:15Z,2023-11-24T18:36:15Z,1,NEGATIVE,0.6970568299293518
"So beautiful.  What language is this, please?",@caroldixon7796,2023-11-24T18:32:57Z,2023-11-24T18:32:57Z,0,POSITIVE,0.9997875094413757
"Classical music explores a wide range of sonic landscapes, from the delicate melodies of orchestral strings to the intricate harmonies of chamber music. This creates a diverse and rich musical experience.",@FlexingClassicalMusic,2023-11-24T01:20:44Z,2023-11-24T01:20:44Z,4,POSITIVE,0.9998561143875122
❤ so nice to hear... I love your songs... Merry Christmas❤❤❤,@user-gg3wp5nq8v,2023-11-22T08:32:12Z,2023-11-22T08:32:12Z,1,POSITIVE,0.9998657703399658
All my family is gone. This really brightened my day.  Thank you for the memories. 🎄🫶🙏,@cindraclark7204,2023-11-21T20:43:42Z,2023-11-21T20:43:42Z,22,POSITIVE,0.9997503161430359
WTF?! Why is this not the actual lyrics in any language spoken by man and not actual singers? This feels so wrong. I wanted the actual traditional songs. Super disappointing.,@maryamjoha,2023-11-19T23:35:07Z,2023-11-19T23:36:36Z,0,NEGATIVE,0.9997953772544861
This is SO BEAUTIFUL!  Create more like this.  You have no idea what you contribute to others&#39; lives.  SO PEACEFUL.  THANK YOU!,@JazzCoffeeAmbience,2023-11-17T06:54:14Z,2023-11-17T06:54:14Z,10,POSITIVE,0.9998574256896973
"Omg  .i will see you soon ,love of my life",@cornishwolves69,2023-11-15T20:43:29Z,2023-11-15T20:43:29Z,1,POSITIVE,0.9998575448989868
サンタさんが本当にきますように✨,@user-ge9uj5sr1x,2023-11-13T17:27:26Z,2023-11-13T17:27:26Z,0,NEGATIVE,0.5438154339790344
"I enjoy Christmas music, but I&#39;m not a fan off the season. I would rather be by myself.",@dougwoods4550,2023-11-13T09:05:53Z,2023-11-13T09:05:53Z,0,NEGATIVE,0.9866358637809753
The pretty pictures of the house and the churches are marvelous. The churches look Greek Orthodox. Am I right¿ Or they a figment of your imagination¿,@mudgebauer,2023-11-10T23:23:12Z,2023-11-10T23:23:12Z,0,POSITIVE,0.9995937943458557
Lovely music and video. Please identify the electronic keyboard being used to simulate the voices¿,@mudgebauer,2023-11-10T23:16:38Z,2023-11-10T23:16:38Z,0,POSITIVE,0.9998075366020203
"listening right now November 9, 2023 at 9:10pm from Philippines. Merry Christmas ⛄🎁",@lividtorres5621,2023-11-09T13:09:43Z,2023-11-09T13:09:43Z,1,POSITIVE,0.9982002973556519
This woke me up in the middle of the night. It totally creeps me out for some reason.  It’s like the musical version of creepy AI artwork. How can I block this from playing???,@theotherme4120,2023-11-09T01:31:22Z,2023-11-09T01:31:22Z,0,NEGATIVE,0.9636890888214111
I&#39;M OLD ENOUGH TO APPRECIATE THIS WONDERFUL CHOIR CHRISTMAS MUSIC. AS MUCH AS I LIKE MODERN SONGS ABOUT CHRISTMAS. NOTHING BRINGS ME CLOSER THAN THIS!!,@normlor,2023-11-08T02:13:50Z,2023-11-08T02:13:50Z,17,POSITIVE,0.8523362278938293
Hi all. What is the name of the Orchestra Chrorus who sing this songs? Or the entire album.... thank you,@alexmurphy8862,2023-11-06T08:39:31Z,2023-11-06T08:39:31Z,0,POSITIVE,0.9996334314346313
Merry Christmas to everyone reading. I pray you are blessed with everything you need this Christmas. 🙏🎄,@Stephanie_Vanderkellen,2023-11-06T03:19:21Z,2023-11-06T03:19:21Z,5,POSITIVE,0.9998375177383423
Que maravillosa cancion me recuerda a la vispera de navidad  aunque yo celebre solo la navidad en mi casa nadie me vicita 😢,@albertojosemunoz4734,2023-11-04T13:21:43Z,2023-11-04T13:21:43Z,0,NEGATIVE,0.8621697425842285
These beautiful songs touch the soul.,@carolthompson302,2023-11-03T02:50:12Z,2023-11-03T02:50:12Z,9,POSITIVE,0.9998757839202881
Músicas maravilhosas 🌹💕👏👏👏,@wbarcellos,2023-11-02T19:44:25Z,2023-11-02T19:44:25Z,3,NEGATIVE,0.9346190690994263
"Beautiful orthodox Christian carols, thank you. and God Bless",@andrewm514,2023-11-02T13:51:49Z,2023-11-02T13:51:49Z,7,POSITIVE,0.9998745918273926
Hermosa música navideña muchas gracias,@evacarrascorojas4415,2023-11-02T13:37:16Z,2023-11-02T13:37:16Z,2,POSITIVE,0.901962161064148
Wonderful music 😊brought tears to my eyes as I remembered my dearest Daddy and Mommy💙💚I’m old now and they are gone 😢,@nellymarlenewatkinss.9443,2023-10-28T17:52:06Z,2023-10-28T17:52:06Z,19,POSITIVE,0.9982415437698364
UM... this is OCTOBER !,@billrea66,2023-10-26T06:04:26Z,2023-10-26T06:04:26Z,0,POSITIVE,0.6304498314857483
😍,@eileenkung1654,2023-10-24T17:15:14Z,2023-10-24T17:15:14Z,1,NEGATIVE,0.6970568299293518
Where are the words? I don’t hear actual lyrics. Am I losing my mind? Or is this like creepy AI version of Christmas music???,@theotherme4120,2023-10-22T02:34:20Z,2023-10-22T02:34:20Z,0,NEGATIVE,0.9996009469032288
The beauty of listening to this on my cell phone is I can plug it into the car radio. Dont have to be bothered with hearing Mariah Carey start up every five minutes.,@slim-oneslim8014,2023-10-21T08:45:26Z,2023-10-21T08:45:26Z,22,POSITIVE,0.9857307076454163
This is majestic. Kinda brings both happiness and warmth at the same time. ❤,@bjorn6869,2023-10-21T07:09:12Z,2023-10-21T07:09:12Z,17,POSITIVE,0.9998871088027954
🌟🏛🌟 - TOUS CES CHANTS &amp; MERVEILLES POURRAIENT VENIR DE CE TEMPLE CÉLESTE  &amp; RADIEUX❕   M*E*R*C🌟  POUR CET OPUS FÉERIQUE.    🎄🎁<br>A TRÈS  BIENTÔT  DANS LA LUMIÈRE  &amp; LES MILLE LUMIÈRES  DU 24 &amp; 25 DÉCEMBRE 2023  💫 ❄ 💫<br>DIVINEMENT VÔTRE  🌈&quot;&quot;🌬 🌟👑🌟🕊’’🔥🔥🔥,@nicoleasdorion4437,2023-10-20T07:17:28Z,2023-10-20T07:18:36Z,1,NEGATIVE,0.908488929271698
"M*E*R*C 🤍  @ AmbientMusicParadise  POUR CE VOYAGE INTER-NOËL EN CES CHANTS FÉERIQUES. ✝️⚜❄⚜✡   <br>EN CETTE SAISON TRÈS  PARTICULIÈRE,  SI NOUS POUVIONS  INSUFFLER SES DOUX CHANTS AUX OREILLES DE NOS  COMBATTANTS ET SURTOUT  AUX MAÎTRES D’ORDRES❣<br>DIVINEMENT VÔTRE :  🌈&quot;&quot;🌬  🌟*👑*🌟🕊&quot;&quot;🔥🔥🔥",@nicoleasdorion4437,2023-10-20T00:46:38Z,2023-10-20T00:46:38Z,1,NEGATIVE,0.7431224584579468
"omg, i miss my old self. Hearing this kind of music made me think of my family.",@kreontv,2023-10-19T11:16:14Z,2023-10-19T11:16:14Z,8,POSITIVE,0.9971670508384705
"Yes,,, this bring back all the memories. Relate",@anamariealaro6789,2023-10-19T10:12:54Z,2023-10-19T10:12:54Z,2,POSITIVE,0.9996180534362793
"Within the first few seconds I become very emotional. These carols for me are more than just fuzzy feelings of Christmas, but of the One who gave it all so I could have life. I needed this mix as I&#39;m coming out of a dry and disappointing season of life. What a beautiful reminder of what&#39;s truly important. 🙏❣✝🕊",@AshleyKristyen,2023-10-06T21:49:24Z,2023-10-06T21:49:24Z,124,POSITIVE,0.9943650960922241
"Señor, gracias por salvarme, estaba tan a oscuras y viniste y me cegaste con tu luz, ahora estoy libre de las manos del enemigo, señor, continuaré sirviéndote, amén.",@FelizNavidad1539,2023-10-01T17:10:49Z,2023-10-01T17:10:49Z,2,NEGATIVE,0.8248341083526611
Hermoso video. Me fascina la Navidad y todos sus elementos culturales.<br>Gracias por compartirlo.,@mateosantiago,2023-09-28T13:44:21Z,2023-09-28T13:44:21Z,1,POSITIVE,0.9124737977981567
What language are they singing,@maryloumackelprang5856,2023-08-25T03:04:01Z,2023-08-25T03:04:01Z,0,NEGATIVE,0.8404448628425598
"Malam kudus ( silent night ), lagu yg kami selalu nyanyikan ketika misa di malam natal. Lagu yg membawa damai di hati.",@juniartosutanto2205,2023-02-05T09:18:39Z,2023-02-05T09:18:39Z,0,NEGATIVE,0.996859073638916
"This is beautiful. Memories of Christmas’ past came flooding back. My parents, my aunts and uncles, family, friends and neighbors who are no longer here.   Beautiful and wonderful! Merry Christmas! 🎄🎁",@bobholmes65,2023-02-01T07:45:45Z,2023-02-01T07:46:14Z,50,POSITIVE,0.9998310804367065
"Thanks for Sharing and Subscribing. 🙏Enjoy more Ambient Choir Music in this Playlist:<br><a href=""https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt"">https://www.youtube.com/playlist?list=PLVWtd6TAbjUAybhgZyl13qOncmETIVijt</a>",@AmbientMusicParadise,2023-01-29T13:39:49Z,2023-01-29T13:39:49Z,39,NEGATIVE,0.8678627014160156
Beautiful,@arlenehensley6753,2023-01-29T00:40:12Z,2023-01-29T00:40:12Z,5,POSITIVE,0.9998807907104492
Beautiful!,@arlenehensley6753,2023-01-29T00:38:16Z,2023-01-29T00:38:16Z,6,POSITIVE,0.9998811483383179
awesome stuff.,@samdaman916,2023-01-16T23:19:17Z,2023-01-16T23:19:17Z,2,POSITIVE,0.999870777130127
"Such a BLESSED Find this AM!  Thank you!   What I had watched first was the Harry Belafonte song, &quot;Mary&#39;s Boy Child&quot; w/video.  It provided such solace during this Christmas season; it is the eternal essence of why we believe.   I&#39;ll follow up w/the video link you provide below.",@janemazzola4454,2023-01-05T15:50:34Z,2023-01-05T15:50:34Z,1,POSITIVE,0.9996914863586426
❤MERRY CHRISTMAS and HAPPY NEW YEAR 2023 💙 ... peace and joy of The Lord be with us 🙏,@langitdewandaru2854,2023-01-01T04:53:44Z,2023-01-01T04:53:44Z,5,POSITIVE,0.9997071623802185
"Too many commercials, this is ruined!",@stacieadams6277,2022-12-31T14:09:16Z,2022-12-31T14:09:16Z,0,NEGATIVE,0.9997400641441345
I can listen to this ALL day every day all year!,@archangelvvv,2022-12-31T00:19:00Z,2022-12-31T00:19:00Z,36,POSITIVE,0.9991599321365356
I imagine this is what the angels sound like!,@WorthyistheLambRev1,2022-12-28T15:36:44Z,2022-12-28T15:36:44Z,1,POSITIVE,0.9981670379638672
"I am Gali, in the year 1980 I lost all my hopes, I became a thief  and club dancer. At that time I heard about Christ, the Lord spoke with me though the Scripture.   <br><br> JOHN 14:6  “I AM THE WAY THE TRUTH AND THE LIFE NO MAN COMETH UNTO THE FATHER BUT BY ME.” <br><br>  I surrendered my life to Lord Jesus and confessed that He is the only Lord and died for my sins to deliver me from all my sins (Karma). When I totally surrendered my life to the Lord He has delivered me from evil spirits, which suffered me about 6 years. I became a new person in Christ.    I love Bible so much and started memorizing the scriptures.   <br> <br>By the grace of God I have memorized Five Thousand (5,000) Verses from the Holy Bible. Every week I also remember all the verses. Morning time I remember about 1500 verses for praise, worship and prayer. (Including 100 Psalms). This practice helps me to grow strong in the Lord and also to help others for the glory of the Lord.    John 14:6 is my favorite verse; I preach this word to many unsaved people that they may find the peace in Jesus Christ because He is the Lord of all.  <br><br> <a href=""https://youtu.be/GWViryWWch4"">https://youtu.be/GWViryWWch4</a>",@sisaliceponnuswamyfastingp3414,2022-12-28T13:05:10Z,2022-12-28T13:05:10Z,3,POSITIVE,0.9914536476135254
"It is nice. but sadly its only a machine, not real people singing.",@David-Alexander-German,2022-12-27T16:49:21Z,2022-12-27T16:49:21Z,1,NEGATIVE,0.9975524544715881
"I am really sorry for this, but this is not a real choir. This is a computer.  I don&#39;t like it at all, it is not physical and has no real music essence and performance.",@user-mc6md1yc2h,2022-12-26T12:49:08Z,2022-12-26T12:49:08Z,0,NEGATIVE,0.9997357726097107
"- très joli, merci !",@alaing6463,2022-12-26T09:47:31Z,2022-12-26T09:47:31Z,4,POSITIVE,0.859860897064209
The voices are so rich and what a wondrous blend of harmony!,@georgesims4372,2022-12-26T07:33:35Z,2022-12-26T07:33:35Z,34,POSITIVE,0.9998779296875
"What beautiful Christmas music as we are celebrating the birth of Jesus Christ our Lord and Savior who came into this world, the perfect gift of God to mankind, giving eternal life to those who believe on Him, repent and ask for forgiveness of their sins. Glory, Honor and Praise be to Him forever and ever, Amen! <br>Wishing everyone a BLESSED CHRISTMAS and PEACE ON EARTH ❤️❤️❤️",@gj9736,2022-12-26T04:16:24Z,2022-12-26T04:24:31Z,10,POSITIVE,0.9998262524604797
"Very, very good. So beautiful,  so wonderful. Thank you.",@zuzannawisniewska4464,2022-12-25T15:31:28Z,2022-12-25T15:31:28Z,3,POSITIVE,0.9998774528503418
Me too just 72 but agree with you,@jurajlenda,2022-12-25T14:32:20Z,2022-12-25T14:32:20Z,0,POSITIVE,0.9997579455375671
"Thank YOU for these wonderful play list. Remembering old days my late father was song leader so did his 2 other sisters. I always accompanied him as eldest of 9 and when my siblings were grown up always with Mom &amp; Dad attending church. X&#39;mas and Sunday&#39;s service were always a joy, bit sad missing those occasions with them.<br>Merry Christmas everyone in this global world. Jesus loves YOU all🌲🥰",@ericatupamahu4660,2022-12-25T14:22:00Z,2022-12-25T14:22:00Z,14,POSITIVE,0.9997259974479675
So beautiful! Thank you and blessed Christmas to you.,@shcheah2002,2022-12-25T14:14:58Z,2022-12-25T14:14:58Z,13,POSITIVE,0.9998664855957031
"A beautiful set of carols that take me back to my childhood, but we also sing them now, because the tradition must be preserved.",@zuzannawisniewska4464,2022-12-25T13:09:09Z,2022-12-25T13:09:09Z,49,POSITIVE,0.9995181560516357
Absolutely gorgeous 💖🌟☃️🎄🇨🇦,@shelleylund612,2022-12-25T08:50:58Z,2022-12-25T08:50:58Z,12,POSITIVE,0.9998786449432373
✨💛✨Beautiful!✨🎶✨🕊✨ 🎶✨🎶,@luvit8124,2022-12-25T07:27:27Z,2022-12-25T07:27:27Z,3,POSITIVE,0.9631747007369995
