Comment,Author,Published At,Updated At,Like Count,Text_Curat,Sentiment_TextBlob,Sentiment_NLTK,Sentiment_VADER,Sentiment_HF_Label,Sentiment_HF_Score
"I am 62 and not enjoy being alone, most of the time.",@user-ol6ig5sk5v,2023-12-05T21:37:00Z,2023-12-05T21:37:00Z,0,i am  and not enjoy being alone most of the time,0.15,-0.2235,-0.2235,POSITIVE,0.5678707361221313
God Bless Us Everyone!,@tommytam3208,2023-12-05T04:39:10Z,2023-12-05T04:39:10Z,3,god bless us everyone,0.0,0.5994,0.5994,POSITIVE,0.9996044039726257
I think of my dad who died this summer in the age of 53,@GrafLothinsmoor,2023-12-04T13:56:49Z,2023-12-04T13:56:49Z,3,i think of my dad who died this summer in the age of,0.0,-0.5574,-0.5574,POSITIVE,0.9551302194595337
Are some of the songs in Welsh?,@johninman7545,2023-12-04T03:57:59Z,2023-12-04T03:57:59Z,0,are some of the songs in welsh,0.0,0.0,0.0,POSITIVE,0.9983770847320557
Superbe soirée à l&#39;écoute de ces chants 💓,@francinedrion7775,2023-12-03T21:16:43Z,2023-12-03T21:16:43Z,2,superbe soire  lcoute de ces chants,0.0,0.0,0.0,POSITIVE,0.9985237717628479
"Am I the only one who thinks this all sounds digitally produced, including the voices?",@saraamelia8746,2023-12-02T15:27:57Z,2023-12-02T15:27:57Z,2,am i the only one who thinks this all sounds digitally produced including the voices,0.0,0.0,0.0,NEGATIVE,0.9983013868331909
"Well, I came here from Wardruna, so I guess this counts",@TravisSuter,2023-12-02T05:52:43Z,2023-12-02T05:52:43Z,0,well i came here from wardruna so i guess this counts,0.0,0.2732,0.2732,NEGATIVE,0.6480675935745239
Wonderful!!!!,@anonymousboomer9749,2023-12-01T20:26:11Z,2023-12-01T20:26:11Z,3,wonderful,1.0,0.5719,0.5719,POSITIVE,0.9998772144317627
"What language, if any, is this",@valor101arise,2023-12-01T19:37:27Z,2023-12-01T19:37:27Z,0,what language if any is this,0.0,0.0,0.0,NEGATIVE,0.9949502944946289
Thank you. These songs put me in the spirit of Christmas.,@lilianedenoni5481,2023-12-01T18:05:29Z,2023-12-01T18:05:29Z,5,thank you these songs put me in the spirit of christmas,0.0,0.4939,0.4939,POSITIVE,0.9998573064804077
"A única coisa que realmente controlamos são nossas atitudes perante a vida. Então é inútil perdermos tempo em brigar com o que acontece. Veja Boethius: &quot;O que importa é nossa atitude. É única coisa que podemos escolher. Então se assim é escolhamos sorrir, nem que seja só para lembrar dos momentos alegres.&quot; Ou eternos e infindáveis minutos que a Paz que estas músicas nos trazem. Feliz Natal, almas amigas...",@paulorodrigues374,2023-11-30T23:46:59Z,2023-11-30T23:46:59Z,1,a nica coisa que realmente controlamos so nossas atitudes perante a vida ento  intil perdermos tempo em brigar com o que acontece veja boethius quoto que importa  nossa atitude  nica coisa que podemos escolher ento se assim  escolhamos sorrir nem que seja s para lembrar dos momentos alegresquot ou eternos e infindveis minutos que a paz que estas msicas nos trazem feliz natal almas amigas,0.0,0.0,0.0,NEGATIVE,0.9744282364845276
"The only thing we really control is our attitude to life. So it&#39;s pointless wasting time fighting with what happens. Look at Boethius: &quot;What matters is our attitude. It&#39;s the only thing we can choose. So if that&#39;s the case, let&#39;s choose to smile, if only to remember the happy moments.&quot; Or the eternal and endless minutes of peace that these songs bring us. Merry Christmas, friendly souls...",@paulorodrigues374,2023-11-30T23:46:30Z,2023-11-30T23:46:30Z,1,the only thing we really control is our attitude to life so its pointless wasting time fighting with what happens look at boethius quotwhat matters is our attitude its the only thing we can choose so if thats the case lets choose to smile if only to remember the happy momentsquot or the eternal and endless minutes of peace that these songs bring us merry christmas friendly souls,0.14444444444444446,0.9008,0.9008,NEGATIVE,0.9986078143119812
"Divino!!! Agradeço ao Espírito Santo ter a sensibilidade para apreciar o Natal em sua absoluta mensagem: Jesus, um presente de Deus, nasceu. Glória a Deus nas alturas!",@paulorodrigues374,2023-11-30T23:18:39Z,2023-11-30T23:18:39Z,2,divino agradeo ao esprito santo ter a sensibilidade para apreciar o natal em sua absoluta mensagem jesus um presente de deus nasceu glria a deus nas alturas,0.0,0.0,0.0,NEGATIVE,0.9246459603309631
soo beautiful! 😌 happy almost Advent 🔥 and Merry early Christmas to the World 👑 ⛄👼🙏🧑‍🎄🦌🎄,@SexySkoChick,2023-11-30T21:41:53Z,2023-11-30T21:42:09Z,4,soo beautiful  happy almost advent  and merry early christmas to the world,0.5833333333333334,0.8965,0.8965,POSITIVE,0.9998177886009216
"Magnifique, merci :)",@freececile227,2023-11-28T13:18:29Z,2023-11-28T13:18:29Z,2,magnifique merci,0.0,0.0,0.0,NEGATIVE,0.7085835933685303
God always gives us good and beautiful things. such as music And all these songs. amen,@MusicforChristmas-zy2ze,2023-11-28T11:19:36Z,2023-11-28T11:19:36Z,1,god always gives us good and beautiful things such as music and all these songs amen,0.5166666666666666,0.836,0.836,POSITIVE,0.9998146891593933
❤❤❤❤❤❤❤❤❤,@dianaarango1135,2023-11-24T18:36:15Z,2023-11-24T18:36:15Z,1,,0.0,0.0,0.0,POSITIVE,0.7481208443641663
"So beautiful.  What language is this, please?",@caroldixon7796,2023-11-24T18:32:57Z,2023-11-24T18:32:57Z,0,so beautiful  what language is this please,0.85,0.7794,0.7794,POSITIVE,0.9998520612716675
"Classical music explores a wide range of sonic landscapes, from the delicate melodies of orchestral strings to the intricate harmonies of chamber music. This creates a diverse and rich musical experience.",@FlexingClassicalMusic,2023-11-24T01:20:44Z,2023-11-24T01:20:44Z,4,classical music explores a wide range of sonic landscapes from the delicate melodies of orchestral strings to the intricate harmonies of chamber music this creates a diverse and rich musical experience,-0.0050000000000000044,0.8432,0.8432,POSITIVE,0.9998592138290405
❤ so nice to hear... I love your songs... Merry Christmas❤❤❤,@user-gg3wp5nq8v,2023-11-22T08:32:12Z,2023-11-22T08:32:12Z,1,so nice to hear i love your songs merry christmas,0.55,0.8955,0.8955,POSITIVE,0.999866247177124
All my family is gone. This really brightened my day.  Thank you for the memories. 🎄🫶🙏,@cindraclark7204,2023-11-21T20:43:42Z,2023-11-21T20:43:42Z,22,all my family is gone this really brightened my day  thank you for the memories,0.2,0.7089,0.7089,POSITIVE,0.9998024106025696
WTF?! Why is this not the actual lyrics in any language spoken by man and not actual singers? This feels so wrong. I wanted the actual traditional songs. Super disappointing.,@maryamjoha,2023-11-19T23:35:07Z,2023-11-19T23:36:36Z,0,wtf why is this not the actual lyrics in any language spoken by man and not actual singers this feels so wrong i wanted the actual traditional songs super disappointing,-0.15833333333333333,-0.7959,-0.7959,NEGATIVE,0.999776303768158
This is SO BEAUTIFUL!  Create more like this.  You have no idea what you contribute to others&#39; lives.  SO PEACEFUL.  THANK YOU!,@JazzCoffeeAmbience,2023-11-17T06:54:14Z,2023-11-17T06:54:14Z,10,this is so beautiful  create more like this  you have no idea what you contribute to others lives  so peaceful  thank you,0.5333333333333333,0.9419,0.9419,POSITIVE,0.999835729598999
"Omg  .i will see you soon ,love of my life",@cornishwolves69,2023-11-15T20:43:29Z,2023-11-15T20:43:29Z,1,omg  i will see you soon love of my life,0.5,0.6369,0.6369,POSITIVE,0.9998492002487183
サンタさんが本当にきますように✨,@user-ge9uj5sr1x,2023-11-13T17:27:26Z,2023-11-13T17:27:26Z,0,,0.0,0.0,0.0,POSITIVE,0.7481208443641663
"I enjoy Christmas music, but I&#39;m not a fan off the season. I would rather be by myself.",@dougwoods4550,2023-11-13T09:05:53Z,2023-11-13T09:05:53Z,0,i enjoy christmas music but im not a fan off the season i would rather be by myself,0.4,-0.0882,-0.0882,NEGATIVE,0.7912720441818237
The pretty pictures of the house and the churches are marvelous. The churches look Greek Orthodox. Am I right¿ Or they a figment of your imagination¿,@mudgebauer,2023-11-10T23:23:12Z,2023-11-10T23:23:12Z,0,the pretty pictures of the house and the churches are marvelous the churches look greek orthodox am i right or they a figment of your imagination,0.2671428571428572,0.7964,0.7964,POSITIVE,0.9998482465744019
Lovely music and video. Please identify the electronic keyboard being used to simulate the voices¿,@mudgebauer,2023-11-10T23:16:38Z,2023-11-10T23:16:38Z,0,lovely music and video please identify the electronic keyboard being used to simulate the voices,0.5,0.7269,0.7269,POSITIVE,0.9998026490211487
"listening right now November 9, 2023 at 9:10pm from Philippines. Merry Christmas ⛄🎁",@lividtorres5621,2023-11-09T13:09:43Z,2023-11-09T13:09:43Z,1,listening right now november   at pm from philippines merry christmas,0.2857142857142857,0.5423,0.5423,POSITIVE,0.999005138874054
This woke me up in the middle of the night. It totally creeps me out for some reason.  It’s like the musical version of creepy AI artwork. How can I block this from playing???,@theotherme4120,2023-11-09T01:31:22Z,2023-11-09T01:31:22Z,0,this woke me up in the middle of the night it totally creeps me out for some reason  its like the musical version of creepy ai artwork how can i block this from playing,-0.125,0.1027,0.1027,NEGATIVE,0.9886856079101562
I&#39;M OLD ENOUGH TO APPRECIATE THIS WONDERFUL CHOIR CHRISTMAS MUSIC. AS MUCH AS I LIKE MODERN SONGS ABOUT CHRISTMAS. NOTHING BRINGS ME CLOSER THAN THIS!!,@normlor,2023-11-08T02:13:50Z,2023-11-08T02:13:50Z,17,im old enough to appreciate this wonderful choir christmas music as much as i like modern songs about christmas nothing brings me closer than this,0.3,0.8616,0.8616,POSITIVE,0.9985961318016052
Hi all. What is the name of the Orchestra Chrorus who sing this songs? Or the entire album.... thank you,@alexmurphy8862,2023-11-06T08:39:31Z,2023-11-06T08:39:31Z,0,hi all what is the name of the orchestra chrorus who sing this songs or the entire album thank you,0.0,0.3612,0.3612,POSITIVE,0.999554455280304
Merry Christmas to everyone reading. I pray you are blessed with everything you need this Christmas. 🙏🎄,@Stephanie_Vanderkellen,2023-11-06T03:19:21Z,2023-11-06T03:19:21Z,5,merry christmas to everyone reading i pray you are blessed with everything you need this christmas,0.0,0.8658,0.8658,POSITIVE,0.9998108744621277
Que maravillosa cancion me recuerda a la vispera de navidad  aunque yo celebre solo la navidad en mi casa nadie me vicita 😢,@albertojosemunoz4734,2023-11-04T13:21:43Z,2023-11-04T13:21:43Z,0,que maravillosa cancion me recuerda a la vispera de navidad  aunque yo celebre solo la navidad en mi casa nadie me vicita,0.0,0.0,0.0,NEGATIVE,0.6954917311668396
These beautiful songs touch the soul.,@carolthompson302,2023-11-03T02:50:12Z,2023-11-03T02:50:12Z,9,these beautiful songs touch the soul,0.85,0.5994,0.5994,POSITIVE,0.9998757839202881
Músicas maravilhosas 🌹💕👏👏👏,@wbarcellos,2023-11-02T19:44:25Z,2023-11-02T19:44:25Z,3,msicas maravilhosas,0.0,0.0,0.0,NEGATIVE,0.9684559106826782
"Beautiful orthodox Christian carols, thank you. and God Bless",@andrewm514,2023-11-02T13:51:49Z,2023-11-02T13:51:49Z,7,beautiful orthodox christian carols thank you and god bless,0.21666666666666665,0.8834,0.8834,POSITIVE,0.9998718500137329
Hermosa música navideña muchas gracias,@evacarrascorojas4415,2023-11-02T13:37:16Z,2023-11-02T13:37:16Z,2,hermosa msica navidea muchas gracias,0.0,0.0,0.0,NEGATIVE,0.9817549586296082
Wonderful music 😊brought tears to my eyes as I remembered my dearest Daddy and Mommy💙💚I’m old now and they are gone 😢,@nellymarlenewatkinss.9443,2023-10-28T17:52:06Z,2023-10-28T17:52:06Z,19,wonderful music brought tears to my eyes as i remembered my dearest daddy and mommyim old now and they are gone,0.55,0.7506,0.7506,POSITIVE,0.9976584911346436
UM... this is OCTOBER !,@billrea66,2023-10-26T06:04:26Z,2023-10-26T06:04:26Z,0,um this is october,0.0,0.0,0.0,NEGATIVE,0.9312145709991455
😍,@eileenkung1654,2023-10-24T17:15:14Z,2023-10-24T17:15:14Z,1,,0.0,0.0,0.0,POSITIVE,0.7481208443641663
Where are the words? I don’t hear actual lyrics. Am I losing my mind? Or is this like creepy AI version of Christmas music???,@theotherme4120,2023-10-22T02:34:20Z,2023-10-22T02:34:20Z,0,where are the words i dont hear actual lyrics am i losing my mind or is this like creepy ai version of christmas music,-0.25,0.0708,0.0708,NEGATIVE,0.9991466999053955
The beauty of listening to this on my cell phone is I can plug it into the car radio. Dont have to be bothered with hearing Mariah Carey start up every five minutes.,@slim-oneslim8014,2023-10-21T08:45:26Z,2023-10-21T08:45:26Z,22,the beauty of listening to this on my cell phone is i can plug it into the car radio dont have to be bothered with hearing mariah carey start up every five minutes,0.0,0.3612,0.3612,POSITIVE,0.9964686632156372
This is majestic. Kinda brings both happiness and warmth at the same time. ❤,@bjorn6869,2023-10-21T07:09:12Z,2023-10-21T07:09:12Z,17,this is majestic kinda brings both happiness and warmth at the same time,0.35,0.7458,0.7458,POSITIVE,0.9998844861984253
