text1,text2,similaritate_cosinus,similaritate_fuzz_ratio,similaritate_jaccard,distanta_levenshtein
Clinical Characteristics of Coronavirus Disease 2019 in China,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.48350263165964896,60,0.42857142857142855,50
Clinical Characteristics of Coronavirus Disease 2019 in China,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.04563235872819166,35,0.06666666666666667,51
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,0.26019072277245037,23,0.0967741935483871,169
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,Dexamethasone in Hospitalized Patients with Covid-19,0.0773765850716856,25,0.03333333333333333,169
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,An interactive web-based dashboard to track COVID-19 in real time,0.04658550806595078,29,0.029411764705882353,164
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.20188177655178896,22,0.1,170
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.2587910618388658,40,0.1935483870967742,155
Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.05922887423088534,26,0.03125,166
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Dexamethasone in Hospitalized Patients with Covid-19,0.12300855780189646,40,0.07142857142857142,44
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,An interactive web-based dashboard to track COVID-19 in real time,0.07405878866781562,33,0.0,52
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.6748822172466363,59,0.5454545454545454,29
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.04333903980341682,33,0.05,74
Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.09415843814535511,28,0.0,53
Dexamethasone in Hospitalized Patients with Covid-19,An interactive web-based dashboard to track COVID-19 in real time,0.13330332740791928,32,0.06666666666666667,56
Dexamethasone in Hospitalized Patients with Covid-19,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.0,28,0.0,51
Dexamethasone in Hospitalized Patients with Covid-19,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.3885209885994702,55,0.2,56
Dexamethasone in Hospitalized Patients with Covid-19,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.38354096459349474,49,0.16666666666666666,34
An interactive web-based dashboard to track COVID-19 in real time,Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,0.0,33,0.0,53
An interactive web-based dashboard to track COVID-19 in real time,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.027143990270749426,36,0.047619047619047616,71
An interactive web-based dashboard to track COVID-19 in real time,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.197776016656538,39,0.2,54
Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",0.04028197250594977,30,0.05263157894736842,78
Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine,Antibody responses to SARS-CoV-2 in patients with COVID-19,0.23096785644535295,39,0.06666666666666667,50
"Neurologic Manifestations of Hospitalized Patients With Coronavirus Disease 2019 in Wuhan, China",Antibody responses to SARS-CoV-2 in patients with COVID-19,0.18534771190937283,38,0.05263157894736842,72
