	Native English speaker(Y/N)	Course instructor	Course	Summer or regular semester	Class size	Class attribute	Class attribute numeric
53	False	6	17	Regular	42	medium	2
54	False	6	17	Regular	43	medium	2
55	False	7	11	Regular	10	medium	2
56	False	22	3	Regular	46	medium	2
57	False	13	3	Summer	10	medium	2
58	False	7	25	Regular	42	medium	2
59	False	25	7	Regular	27	medium	2
60	False	25	7	Regular	23	medium	2
61	False	2	9	Regular	31	medium	2
62	False	1	15	Summer	22	medium	2
63	False	15	13	Regular	37	medium	2
64	False	7	11	Regular	13	medium	2
65	False	8	3	Regular	24	medium	2
66	False	14	15	Regular	38	medium	2
67	False	21	2	Regular	42	low	1
68	False	22	3	Regular	28	low	1
69	False	11	1	Regular	51	low	1
70	False	18	5	Regular	19	low	1
71	False	13	1	Regular	31	low	1
72	True	13	3	Summer	13	low	1
73	False	5	2	Regular	37	low	1
74	False	16	8	Regular	36	low	1
75	False	4	16	Regular	21	low	1
76	False	5	2	Regular	48	low	1
77	False	14	15	Regular	38	low	1
78	True	23	3	Summer	25	high	3
79	True	13	3	Summer	17	high	3
80	False	16	19	Regular	11	high	3
81	False	9	2	Regular	39	high	3
82	False	13	3	Summer	11	high	3
83	False	18	21	Regular	19	high	3
84	True	22	3	Regular	45	high	3
85	False	7	11	Summer	20	high	3
86	False	23	3	Summer	20	high	3
87	True	23	3	Summer	20	high	3
88	True	23	3	Regular	38	high	3
89	False	14	22	Regular	17	high	3
90	True	17	17	Regular	19	high	3
91	False	9	5	Regular	24	high	3
92	False	18	25	Regular	25	high	3
93	True	17	17	Regular	31	high	3
94	False	1	15	Regular	31	high	3
95	False	1	8	Regular	18	medium	2
96	True	11	16	Regular	22	medium	2
97	True	22	13	Regular	27	medium	2
98	False	9	2	Regular	14	medium	2
99	False	13	1	Regular	20	medium	2
100	True	6	17	Regular	35	medium	2
101	False	23	3	Summer	20	medium	2
102	True	23	3	Summer	20	medium	2
103	False	6	17	Regular	37	medium	2
104	True	22	3	Regular	15	medium	2
105	False	20	2	Regular	25	medium	2
106	False	23	3	Regular	10	medium	2
107	False	20	2	Regular	14	low	1
108	True	23	3	Regular	38	low	1
109	False	13	1	Regular	29	low	1
110	False	10	3	Regular	19	low	1
111	False	7	11	Regular	30	low	1
112	True	14	15	Regular	32	low	1
113	False	8	3	Regular	27	low	1
114	False	12	7	Regular	34	low	1
115	False	8	7	Regular	23	low	1
116	False	15	1	Regular	66	low	1
117	False	23	3	Regular	12	low	1
118	False	2	9	Regular	29	low	1
119	False	15	1	Regular	19	low	1
120	False	20	2	Regular	3	low	1
121	False	13	14	Regular	17	high	3
122	False	9	6	Regular	7	high	3
123	True	10	3	Regular	21	high	3
124	False	14	15	Regular	36	high	3
125	True	13	1	Regular	54	high	3
126	True	8	3	Regular	29	high	3
127	False	20	2	Regular	45	high	3
128	False	22	1	Regular	11	medium	2
129	False	18	12	Regular	16	medium	2
130	False	20	15	Regular	18	medium	2
131	True	17	18	Regular	44	medium	2
132	False	14	23	Regular	17	medium	2
133	False	24	26	Regular	21	medium	2
134	False	9	24	Regular	20	medium	2
135	False	12	8	Regular	24	medium	2
136	False	9	6	Regular	5	medium	2
137	False	22	1	Regular	42	medium	2
138	False	7	11	Regular	30	low	1
139	False	10	3	Regular	19	low	1
140	False	23	3	Regular	11	low	1
141	False	17	18	Regular	29	low	1
142	False	16	20	Regular	15	low	1
143	False	3	2	Regular	37	low	1
144	False	19	4	Regular	10	low	1
145	False	23	3	Regular	24	low	1
146	False	3	2	Regular	26	low	1
147	False	10	3	Regular	12	low	1
148	True	18	7	Regular	48	low	1
149	False	22	1	Regular	51	low	1
150	False	2	10	Regular	27	low	1
